Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap ($)
1330,TBA,Tombola Gold Ltd,$0.026,0.00%,0.00%,0.00%,-13.33%,Materials,33.13M
1331,SOC,Soco Corporation Ltd,$0.24,-2.04%,-9.43%,-21.31%,+20.00%,Information Technology,33.11M
1332,SPX,Spenda Ltd,$0.009,-10.00%,-25.00%,0.00%,-21.74%,Information Technology,33.1M
1333,GOVT,TSPDR S&P/ASX Australian Government Bond Fund,$22.78,+0.40%,+0.75%,-1.26%,-1.94%,Financials,33.08M
1334,WRK,WRKR Ltd,$0.026,0.00%,0.00%,-7.14%,+13.04%,Information Technology,33.06M
1335,FYI,FYI Resources Ltd,$0.09,+12.50%,+12.50%,+28.57%,-35.71%,Materials,32.99M
1336,AME,Alto Metals Ltd,$0.046,+2.22%,0.00%,0.00%,-31.34%,Materials,32.85M
1337,AR9,Archtis Ltd,$0.115,+9.52%,+15.00%,+4.55%,-17.86%,Information Technology,32.84M
1338,FSG,Field Solutions Holdings Ltd,$0.043,-12.25%,-12.25%,-12.25%,-59.05%,Communication Services,32.84M
1339,RVT,Richmond Vanadium Technology Ltd,$0.38,0.00%,+2.70%,-1.30%,-5.00%,Materials,32.76M
1340,ERM,Emmerson Resources Ltd,$0.06,+3.45%,0.00%,0.00%,-16.67%,Materials,32.68M
1341,VR1,Vection Technologies Ltd,$0.029,+3.57%,-20.55%,-21.62%,-45.28%,Information Technology,32.67M
1342,WWI,West Wits Mining Ltd,$0.014,+7.69%,-6.67%,-6.67%,-17.65%,Materials,32.5M
1343,EYE,Nova EYE Medical Ltd,$0.17,-2.86%,-17.07%,-26.09%,-37.04%,Health Care,32.41M
1344,GBE,Globe Metals & Mining Ltd,$0.048,0.00%,0.00%,+26.32%,-37.05%,Materials,32.27M
1345,NOX,Noxopharm Ltd,$0.11,-12.00%,+14.58%,+161.91%,-26.67%,Health Care,32.15M
1346,MBH,Maggie Beer Holdings Ltd,$0.091,+9.64%,+2.25%,-20.87%,-65.00%,Consumer Staples,32.07M
1347,CURE,EGlobal X S&P Biotech ETF,$36.20,0.00%,+0.95%,-7.06%,-17.45%,Financials,32M
1348,DEM,De.Mem Ltd,$0.13,0.00%,+4.00%,-10.35%,+8.33%,Utilities,31.89M
1349,ROG,Red Sky Energy Ltd,$0.006,+20.00%,+9.09%,+20.00%,+9.09%,Energy,31.81M
1350,EIGA,APerennial Income Generator Fund (Managed Fund),$3.56,+0.28%,+2.01%,-1.39%,-0.28%,Financials,31.75M
1351,CTE,Cryosite Ltd,$0.65,0.00%,+0.78%,0.00%,-1.52%,Health Care,31.73M
1352,BWF,Blackwall Ltd,$0.47,+6.82%,+4.44%,-7.84%,-24.19%,Financials,31.72M
1353,LPM,Lithium Plus Minerals Ltd,$0.48,0.00%,+10.35%,-3.03%,-17.95%,Materials,31.67M
1354,XF1,Xref Ltd,$0.17,0.00%,0.00%,-15.00%,-46.88%,Information Technology,31.65M
1355,IPT,Impact Minerals LtdSPONSORED,$0.011,+10.00%,+10.00%,-12.00%,+69.23%,Materials,31.51M
1356,RTG,RTG Mining Inc,$0.029,0.00%,0.00%,-17.14%,-44.23%,Materials,31.49M
1357,BLU,Blue Energy Ltd,$0.017,0.00%,+21.43%,+30.77%,-69.64%,Energy,31.47M
1358,MPA,Mad Paws Holdings Ltd,$0.088,0.00%,-5.38%,-3.30%,-26.67%,Consumer Discretionary,31.33M
1359,CCE,Carnegie Clean Energy Ltd,$0.002,+33.33%,0.00%,+100.00%,0.00%,Utilities,31.29M
1360,HAW,Hawthorn Resources Ltd,$0.093,-6.06%,-2.11%,+1.09%,+10.71%,Materials,31.16M
1361,GRE,Greentech Metals Ltd,$0.545,+32.93%,+60.29%,+32.93%,+289.29%,Materials,30.97M
1362,GBR,Great Boulder Resources Ltd,$0.061,+1.67%,-7.58%,+12.96%,-32.97%,Materials,30.97M
1363,ASW,Advanced Share Registry Ltd,$0.16,0.00%,0.00%,0.00%,-15.79%,Financials,30.95M
1364,DCC,Digitalx Ltd,$0.041,-2.38%,+7.90%,+34.43%,+36.67%,Information Technology,30.57M
1365,NOU,Noumi Ltd,$0.11,+4.76%,+10.00%,-24.14%,-31.25%,Consumer Staples,30.48M
1366,NOV,Novatti Group Ltd,$0.09,+3.45%,-3.23%,-4.26%,-51.35%,Information Technology,30.48M
1367,DDB,Dynamic Group Holdings Ltd,$0.22,-2.22%,-13.73%,-10.20%,-29.03%,Industrials,30.41M
1368,QEM,QEM Ltd,$0.20,+2.56%,+5.26%,+5.26%,+2.56%,Materials,30.28M
1369,GCAP,PVaneck Bentham GL Cap Se Active ETF (Managed Fund),$8.27,+0.49%,+0.24%,-0.72%,-5.38%,Financials,30.24M
1370,TI1,Tombador Iron Ltd,$0.014,0.00%,0.00%,-22.22%,-30.00%,Materials,30.22M
1371,BCOM,MGlobal X Bloomberg Commodity ETF (Synthetic),$10.86,+0.65%,-1.99%,+0.84%,+7.53%,Financials,30.21M
1372,SOV,Sovereign Cloud Holdings Ltd,$0.089,0.00%,-8.25%,-15.24%,-38.15%,Information Technology,30.21M
1373,PWN,Parkway Corporate Ltd,$0.012,+9.09%,+9.09%,-7.69%,+50.00%,Materials,30.16M
1374,AR3,Australian Rare EARTHS Ltd,$0.195,+2.63%,+2.63%,-15.22%,-43.48%,Materials,30.06M
1375,JAT,Jatcorp Ltd,$0.36,-2.70%,0.00%,+16.13%,+9.09%,Consumer Discretionary,29.98M
1376,IOU,Ioupay Ltd,$0.041,0.00%,0.00%,0.00%,-22.64%,Communication Services,29.91M
1377,RRR,Revolver Resources Holdings Ltd,$0.115,-4.17%,-8.00%,+15.00%,-58.93%,Materials,29.86M
1378,DHOF,FDaintree HYBRID Opportunities Fund (Managed Fund),$9.04,0.00%,-0.55%,-0.66%,-2.80%,Financials,29.82M
1379,NGE,NGE Capital Ltd,$0.83,0.00%,+1.22%,-4.05%,+3.75%,Financials,29.74M
1380,BPH,BPH Energy Ltd,$0.029,+7.41%,-9.38%,+61.11%,+70.59%,Financials,29.73M
1381,MCCL,LMunro Climate Change Leaders Fund (Managed Fund),$9.61,+2.34%,+1.59%,-3.03%,+2.45%,Financials,29.67M
1382,USL,Unico Silver Ltd,$0.10,0.00%,+1.01%,+11.11%,-23.08%,Materials,29.61M
1383,VEN,Vintage Energy Ltd,$0.034,0.00%,-10.53%,+13.33%,-58.28%,Energy,29.57M
1384,PPL,Pureprofile Ltd,$0.026,0.00%,0.00%,-10.35%,-25.71%,Communication Services,29.53M
1385,PUR,Pursuit Minerals Ltd,$0.01,+11.11%,+11.11%,+11.11%,-9.09%,Materials,29.44M
1386,WOA,Wide Open Agriculture Ltd,$0.17,0.00%,0.00%,-47.69%,-41.38%,Consumer Staples,29.42M
1387,AQI,Alicanto Minerals Ltd,$0.048,+2.13%,-2.04%,+6.67%,+33.33%,Materials,29.42M
1388,IAM,Income Asset Management Group Ltd,$0.105,0.00%,-12.50%,-12.50%,-30.00%,Financials,29.4M
1389,DGR,DGR Global Ltd,$0.028,0.00%,+7.69%,+7.69%,-53.33%,Materials,29.22M
1390,AUDS,SBetashares Strong Australian Dollar Fund (Hedge Fund),$6.06,+0.17%,+5.94%,+0.66%,-2.73%,Financials,29.09M
1391,NUH,Nuheara Ltd,$0.13,0.00%,-3.70%,-12.44%,-48.49%,Information Technology,28.98M
1392,WTL,WT Financial Group Ltd,$0.085,0.00%,0.00%,0.00%,0.00%,Financials,28.83M
1393,SRT,Strata Investment Holdings Plc,$0.17,0.00%,0.00%,+3.03%,-43.33%,Materials,28.8M
